,metrica,count,mean,std,min,25%,median,75%,max
0,files_changed,9075.0,6.89,18.21,1.0,1.0,2.0,5.0,143.26
1,lines_added,9075.0,385.18,1512.53,0.0,2.0,20.0,124.0,12194.7
2,lines_deleted,9075.0,94.06,414.35,0.0,1.0,3.0,19.0,3403.74
3,total_changes,9075.0,576.16,2437.56,1.0,4.0,30.0,168.0,20171.86
4,analysis_time_hours,9075.0,2105.01,6020.87,1.17,16.58,101.6,887.76,37134.4
5,description_chars,9075.0,1320.11,1998.32,0.0,130.0,670.0,1643.0,12038.86
6,participants,9075.0,3.46,1.74,2.0,2.0,3.0,4.0,11.0
7,comments_count,9075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,review_comments_count,9075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,total_interactions,9075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,review_count,9075.0,2.78,3.88,1.0,1.0,1.0,3.0,26.0
